character_a,relation,character_b
Ameille,,Green
Green,,Ameille
Ameille,,Hina
Hina,,Ameille
Ameille,,Io
Io,,Ameille
Ameille,,Jace
Jace,,Ameille
Ameille,,Jamie
Jamie,,Ameille
Ameille,,Jaylo
Jaylo,,Ameille
Ameille,,Kieran
Kieran,,Ameille
Ameille,,Kira
Kira,,Ameille
Ameille,,Konnie
Konnie,,Ameille
Ameille,,Kore
Kore,,Ameille
Ameille,,Lavender
Lavender,,Ameille
Ameille,,Leah
Leah,,Ameille
Ameille,,Lee
Lee,,Ameille
Ameille,,Len
Len,,Ameille
Ameille,,Leonidas
Leonidas,,Ameille
Ameille,,Loki
Loki,,Ameille
Ameille,,Loki Primavera
Loki Primavera,,Ameille
Ameille,,Luca
Luca,,Ameille
Ameille,Aunt,Lucielle
Lucielle,Niece,Ameille
Ameille,,Margot
Margot,,Ameille
Ameille,,Marx
Marx,,Ameille
Ameille,,Mephisto
Mephisto,,Ameille
Ameille,,Moyo
Moyo,,Ameille
Ameille,,Natz
Natz,,Ameille
Ameille,Mother,Persephone
Persephone,Daughter,Ameille
Ameille,Wife,Pherenix
Pherenix,Husband,Ameille
Ameille,,Rat
Rat,,Ameille
Ameille,Sister in-law,Rei
Rei,Sister in-law,Ameille
Ameille,,S
S,,Ameille
Ameille,,Sierra
Sierra,,Ameille
Ameille,,Soren
Soren,,Ameille
Ameille,,Taka
Taka,,Ameille
Ameille,,Vanessa
Vanessa,,Ameille
Ameille,,Vi
Vi,,Ameille
Ameille,,X
X,,Ameille
Ameille,,Zayne
Zayne,,Ameille
Ameille,,Zeph
Zeph,,Ameille
Ameille,,Zero
Zero,,Ameille
Antoinette,,Azazel
Azazel,,Antoinette
Antoinette,,Bee
Bee,,Antoinette
Antoinette,,Birde
Birde,,Antoinette
Antoinette,,Brook
Brook,,Antoinette
Antoinette,Sergeant,Bunny
Bunny,General,Antoinette
Antoinette,,Carter
Carter,,Antoinette
Antoinette,,Cat
Cat,,Antoinette
Antoinette,Sergeant,Catherine
Catherine,Spy,Antoinette
Antoinette,,Charlotte
Charlotte,,Antoinette
Antoinette,Nemesis,Chieko
Chieko,Nemesis,Antoinette
Antoinette,Sergeant,Chrys
Chrys,Deserter,Antoinette
Antoinette,,Connor
Connor,,Antoinette
Antoinette,,Conre
Conre,,Antoinette
Antoinette,,Creek
Creek,,Antoinette
Antoinette,Sergeant,Dami
Dami,"Courier, spy",Antoinette
Antoinette,,Emilio
Emilio,,Antoinette
Antoinette,Nemesis,Emira
Emira,Nemesis,Antoinette
Antoinette,,Estelle
Estelle,,Antoinette
Antoinette,,Faust
Faust,,Antoinette
Antoinette,Sergeant,Fox
Fox,General,Antoinette
Antoinette,Sergeant,Green
Green,General,Antoinette
Antoinette,,Hina
Hina,,Antoinette
Antoinette,,Io
Io,,Antoinette
Antoinette,,Jace
Jace,,Antoinette
Antoinette,,Jamie
Jamie,,Antoinette
Antoinette,,Jaylo
Jaylo,,Antoinette
Antoinette,Older sister,Kieran
Kieran,Younger brother,Antoinette
Antoinette,Sergeant,Kira
Kira,Private,Antoinette
Antoinette,Nemesis,Konnie
Konnie,Nemesis,Antoinette
Antoinette,"Sergeant, abuser",Kore
Kore,"Captive, test subject, spy",Antoinette
Antoinette,Sergeant,Lavender
Lavender,General,Antoinette
Antoinette,,Leah
Leah,,Antoinette
Antoinette,False daughter,Lee
Lee,False father,Antoinette
Antoinette,,Len
Len,,Antoinette
Antoinette,,Leonidas
Leonidas,,Antoinette
Antoinette,Adoptive mother,Loki
Loki,Adoptive daughter,Antoinette
Antoinette,,Loki Primavera
Loki Primavera,,Antoinette
Antoinette,,Luca
Luca,,Antoinette
Antoinette,,Lucielle
Lucielle,,Antoinette
Antoinette,,Margot
Margot,,Antoinette
Antoinette,Niece,Marx
Marx,Uncle,Antoinette
Antoinette,,Mephisto
Mephisto,,Antoinette
Antoinette,Nemesis,Moyo
Moyo,Nemesis,Antoinette
Antoinette,Daughter,Natz
Natz,Father,Antoinette
Antoinette,,Persephone
Persephone,,Antoinette
Antoinette,,Pherenix
Pherenix,,Antoinette
Antoinette,Sergeant,Rat
Rat,Private,Antoinette
Antoinette,,Rei
Rei,,Antoinette
Antoinette,"Girlfriend, Sergeant",S
S,"Girlfriend, General",Antoinette
Antoinette,,Sierra
Sierra,,Antoinette
Antoinette,,Soren
Soren,,Antoinette
Antoinette,Sergeant,Taka
Taka,Private,Antoinette
Antoinette,,Vanessa
Vanessa,,Antoinette
Antoinette,,Vi
Vi,,Antoinette
Antoinette,,X
X,,Antoinette
Antoinette,,Zayne
Zayne,,Antoinette
Antoinette,,Zeph
Zeph,,Antoinette
Antoinette,Sergeant,Zero
Zero,Private,Antoinette
Azazel,,Bee
Bee,,Azazel
Azazel,,Birde
Birde,,Azazel
Azazel,,Brook
Brook,,Azazel
Azazel,,Bunny
Bunny,,Azazel
Azazel,,Carter
Carter,,Azazel
Azazel,,Cat
Cat,,Azazel
Azazel,,Catherine
Catherine,,Azazel
Azazel,,Charlotte
Charlotte,,Azazel
Azazel,,Chieko
Chieko,,Azazel
Azazel,,Chrys
Chrys,,Azazel
Azazel,,Connor
Connor,,Azazel
Azazel,,Conre
Conre,,Azazel
Azazel,,Creek
Creek,,Azazel
Azazel,,Dami
Dami,,Azazel
Azazel,,Emilio
Emilio,,Azazel
Azazel,,Emira
Emira,,Azazel
Azazel,,Estelle
Estelle,,Azazel
Azazel,,Faust
Faust,,Azazel
Azazel,,Fox
Fox,,Azazel
Azazel,,Green
Green,,Azazel
Azazel,,Hina
Hina,,Azazel
Azazel,,Io
Io,,Azazel
Azazel,Parasite,Jace
Jace,Host,Azazel
Azazel,,Jamie
Jamie,,Azazel
Azazel,,Jaylo
Jaylo,,Azazel
Azazel,,Kieran
Kieran,,Azazel
Azazel,,Kira
Kira,,Azazel
Azazel,,Konnie
Konnie,,Azazel
Azazel,,Kore
Kore,,Azazel
Azazel,,Lavender
Lavender,,Azazel
Azazel,,Leah
Leah,,Azazel
Azazel,,Lee
Lee,,Azazel
Azazel,,Len
Len,,Azazel
Azazel,,Leonidas
Leonidas,,Azazel
Azazel,,Loki
Loki,,Azazel
Azazel,,Loki Primavera
Loki Primavera,,Azazel
Azazel,,Luca
Luca,,Azazel
Azazel,,Lucielle
Lucielle,,Azazel
Azazel,,Margot
Margot,,Azazel
Azazel,,Marx
Marx,,Azazel
Azazel,,Mephisto
Mephisto,,Azazel
Azazel,,Moyo
Moyo,,Azazel
Azazel,,Natz
Natz,,Azazel
Azazel,,Persephone
Persephone,,Azazel
Azazel,,Pherenix
Pherenix,,Azazel
Azazel,,Rat
Rat,,Azazel
Azazel,,Rei
Rei,,Azazel
Azazel,,S
S,,Azazel
Azazel,,Sierra
Sierra,,Azazel
Azazel,,Soren
Soren,,Azazel
Azazel,,Taka
Taka,,Azazel
Azazel,,Vanessa
Vanessa,,Azazel
Azazel,,Vi
Vi,,Azazel
Azazel,,X
X,,Azazel
Azazel,,Zayne
Zayne,,Azazel
Azazel,,Zeph
Zeph,,Azazel
Azazel,,Zero
Zero,,Azazel
Bee,,Birde
Birde,,Bee
Bee,,Brook
Brook,,Bee
Bee,,Bunny
Bunny,,Bee
Bee,,Carter
Carter,,Bee
Bee,,Cat
Cat,,Bee
Bee,,Catherine
Catherine,,Bee
Bee,,Charlotte
Charlotte,,Bee
Bee,Universal Variant,Chieko
Chieko,Universal Variant,Bee
Bee,,Chrys
Chrys,,Bee
Bee,,Connor
Connor,,Bee
Bee,Squadmate,Conre
Conre,Squadmate,Bee
Bee,,Creek
Creek,,Bee
Bee,Squadmate,Dami
Dami,Squadmate,Bee
Bee,,Emilio
Emilio,,Bee
Bee,,Emira
Emira,,Bee
Bee,,Estelle
Estelle,,Bee
Bee,,Faust
Faust,,Bee
Bee,,Fox
Fox,,Bee
Bee,,Green
Green,,Bee
Bee,,Hina
Hina,,Bee
Bee,,Io
Io,,Bee
Bee,,Jace
Jace,,Bee
Bee,,Jamie
Jamie,,Bee
Bee,,Jaylo
Jaylo,,Bee
Bee,,Kieran
Kieran,Sergeant,Bee
Bee,Private,Kira
Kira,,Bee
Bee,,Konnie
Konnie,,Bee
Bee,,Kore
Kore,,Bee
Bee,,Lavender
Lavender,,Bee
Bee,,Leah
Leah,,Bee
Bee,,Lee
Lee,,Bee
Bee,,Len
Len,,Bee
Bee,,Leonidas
Leonidas,,Bee
Bee,,Loki
Loki,,Bee
Bee,,Loki Primavera
Loki Primavera,,Bee
Bee,,Luca
Luca,,Bee
Bee,,Lucielle
Lucielle,,Bee
Bee,,Margot
Margot,,Bee
Bee,,Marx
Marx,,Bee
Bee,,Mephisto
Mephisto,,Bee
Bee,,Moyo
Moyo,,Bee
Bee,,Natz
Natz,,Bee
Bee,,Persephone
Persephone,,Bee
Bee,,Pherenix
Pherenix,,Bee
Bee,,Rat
Rat,,Bee
Bee,,Rei
Rei,,Bee
Bee,,S
S,,Bee
Bee,,Sierra
Sierra,,Bee
Bee,Squadmate,Soren
Soren,Squadmate,Bee
Bee,,Taka
Taka,,Bee
Bee,,Vanessa
Vanessa,,Bee
Bee,,Vi
Vi,,Bee
Bee,,X
X,,Bee
Bee,,Zayne
Zayne,,Bee
Bee,Spouse,Zeph
Zeph,Spouse,Bee
Bee,,Zero
Zero,,Bee
Birde,,Brook
Brook,,Birde
Birde,,Bunny
Bunny,,Birde
Birde,,Carter
Carter,,Birde
Birde,Squadmate,Cat
Cat,Squadmate,Birde
Birde,,Catherine
Catherine,,Birde
Birde,,Charlotte
Charlotte,,Birde
Birde,,Chieko
Chieko,,Birde
Birde,,Chrys
Chrys,,Birde
Birde,Abuser,Connor
Connor,Abusee,Birde
Birde,Spouse,Conre
Conre,Spouse,Birde
Birde,,Creek
Creek,,Birde
Birde,,Dami
Dami,,Birde
Birde,,Emilio
Emilio,,Birde
Birde,,Emira
Emira,,Birde
Birde,,Estelle
Estelle,,Birde
Birde,,Faust
Faust,,Birde
Birde,,Fox
Fox,,Birde
Birde,,Green
Green,,Birde
Birde,,Hina
Hina,,Birde
Birde,Future self,Io
Io,Past self,Birde
Birde,,Jace
Jace,,Birde
Birde,,Jamie
Jamie,,Birde
Birde,,Jaylo
Jaylo,,Birde
Birde,,Kieran
Kieran,,Birde
Birde,,Kira
Kira,,Birde
Birde,,Konnie
Konnie,,Birde
Birde,,Kore
Kore,,Birde
Birde,,Lavender
Lavender,,Birde
Birde,,Leah
Leah,,Birde
Birde,General,Lee
Lee,Sergeant,Birde
Birde,,Len
Len,,Birde
Birde,,Leonidas
Leonidas,,Birde
Birde,,Loki
Loki,,Birde
Birde,,Loki Primavera
Loki Primavera,,Birde
Birde,,Luca
Luca,,Birde
Birde,,Lucielle
Lucielle,,Birde
Birde,,Margot
Margot,,Birde
Birde,"Spy, courier",Marx
Marx,Sergeant,Birde
Birde,,Mephisto
Mephisto,,Birde
Birde,,Moyo
Moyo,,Birde
Birde,,Natz
Natz,,Birde
Birde,,Persephone
Persephone,,Birde
Birde,,Pherenix
Pherenix,,Birde
Birde,,Rat
Rat,,Birde
Birde,Trafficker,Rei
Rei,Captive,Birde
Birde,,S
S,,Birde
Birde,Ally,Sierra
Sierra,Ally,Birde
Birde,,Soren
Soren,,Birde
Birde,,Taka
Taka,,Birde
Birde,,Vanessa
Vanessa,,Birde
Birde,,Vi
Vi,,Birde
Birde,,X
X,,Birde
Birde,,Zayne
Zayne,,Birde
Birde,Squadmate,Zeph
Zeph,Squadmate,Birde
Birde,,Zero
Zero,,Birde
Brook,,Bunny
Bunny,,Brook
Brook,,Carter
Carter,,Brook
Brook,Friend,Cat
Cat,Friend,Brook
Brook,,Catherine
Catherine,,Brook
Brook,,Charlotte
Charlotte,,Brook
Brook,,Chieko
Chieko,,Brook
Brook,,Chrys
Chrys,,Brook
Brook,Adoptive daughter,Connor
Connor,Adoptive father,Brook
Brook,,Conre
Conre,,Brook
Brook,Biological daughter,Creek
Creek,Biological mother,Brook
Brook,,Dami
Dami,,Brook
Brook,,Emilio
Emilio,,Brook
Brook,,Emira
Emira,,Brook
Brook,,Estelle
Estelle,,Brook
Brook,,Faust
Faust,,Brook
Brook,,Fox
Fox,,Brook
Brook,,Green
Green,,Brook
Brook,,Hina
Hina,,Brook
Brook,,Io
Io,,Brook
Brook,,Jace
Jace,,Brook
Brook,,Jamie
Jamie,,Brook
Brook,,Jaylo
Jaylo,,Brook
Brook,,Kieran
Kieran,,Brook
Brook,,Kira
Kira,,Brook
Brook,,Konnie
Konnie,,Brook
Brook,,Kore
Kore,,Brook
Brook,,Lavender
Lavender,,Brook
Brook,,Leah
Leah,,Brook
Brook,Biological daughter,Lee
Lee,Biological father,Brook
Brook,Friend,Len
Len,Friend,Brook
Brook,,Leonidas
Leonidas,,Brook
Brook,,Loki
Loki,,Brook
Brook,,Loki Primavera
Loki Primavera,,Brook
Brook,,Luca
Luca,,Brook
Brook,Sister,Lucielle
Lucielle,Sister,Brook
Brook,,Margot
Margot,,Brook
Brook,,Marx
Marx,,Brook
Brook,,Mephisto
Mephisto,,Brook
Brook,,Moyo
Moyo,,Brook
Brook,,Natz
Natz,,Brook
Brook,,Persephone
Persephone,,Brook
Brook,,Pherenix
Pherenix,,Brook
Brook,,Rat
Rat,,Brook
Brook,Adoptive daughter,Rei
