character,gender,age,sexuality,height,trope,motifs,first_ment,first_app,playlist
Kore,Cisgender Female,14,N/A,5'2,Manipulated victim used as soldier,"Twin swords, orange",N/A,Project: Hope Effect,https://open.spotify.com/playlist/241Jt4Xy2UDTAeh8Uqd6cI?si=d5174af2604d41ad
Lavender,Cisgender Male,,,,,,N/A,Prolegomenon,N/A
Leah,Cisgender Female,20s,Heterosexual,7'2,"Tomboy, daring, powerful","Fire, dangerous, burns",N/A,Prolegomenon,N/A
Lee,Cisgender Male (Closeted Transgender Female),28,Heterosexual,6'3,"Groomed, manic, trapped","Fox, hammers, missing eye, toxic love",Experience,Sanctuary,https://open.spotify.com/playlist/6NnMnKN66b7pJxOWoKuAJt?si=eeeaba5f30704354
Len,Cisgender Female,0-25,Poly Lesbian,5'4,"Confident youth, friend of all, strong willed","Wings, magic, yearn for knowledge",Prolegomenon,Experience,https://open.spotify.com/playlist/1BKFsuCfThjsVAMPQQg9dt?si=e37a915c14304dee
Leonidas,Cisgender Male,18,Heterosexual,5'6,"Friendly mediator, Ambivert","Flowers, art, knives, rabbit",N/A,Experience,https://open.spotify.com/playlist/5L8YAt7VKKsaPv3fB6rTQz?si=51d71345242944b6
Loki Primavera,Transgender Female,20s,Lesbian,,"Outgoing, Investigative",,N/A,Truth,https://open.spotify.com/playlist/0mRc4OFOBcAtADNKKg74sS?si=e7e7435355ec4752
Loki,Transgender Female,14,Lesbian,,"Menace, cartoony villain, goofy","Butterfly, clown, wings, glass",Prolegomenon,Project: Hope Effect,https://open.spotify.com/playlist/0mRc4OFOBcAtADNKKg74sS?si=e7e7435355ec4752
Luca,Transgender Male,17,Pansexual,,"Chill, mechanic",,N/A,Truth,N/A
Lucielle,Cisgender Female,5-17,Asexual,,"Chill, tinkerer, bookworm","Hunting, independence",N/A,Experience,N/A
Margot,Cisgender Female,,Heterosexual,,,,,,N/A
Marx,Cisgender Male,30s,Bi-curious Heterosexual,5'2,"Cold, calculating leader","Fire, reclusive, grief, recovery",Prolegomenon,Experience,https://open.spotify.com/playlist/4Szb9vibrR1PvTASHuMkhn?si=2803a593cce041d4
Mephisto,Agender (He/him),,Aromantic,Varies,"All-powerfule deity, gluttonous","Colorless flames, white hair, white eyes, purple",N/A,Prolegomenon,https://open.spotify.com/playlist/2y7FRUmz8QnQ12AMT4x2kh?si=49caa6b3c6c74c0e
Moyo,Non-binary,,Demisexual,,,,,,
Natz,Cisgender Male,30s,Heterosexual,,,,,,
Persephone,Cisgender Female,,N/A,,,,,,
Pherenix,Cisgender Male,,Pansexual,,,,,,
Rat,Cisgender Male,,Heterosexual,,,,,,
Rei,Cisgender Female,,Bisexual,,,,,,
S,Cisgender Female,,Lesbian,,,,,,
Sierra,Cisgender Female,,Sapphic Bisexual,,,,,,
Soren,Cisgender Male,,Gay,,,,,,
Taka,Cisgender Male,,Gay,,,,,,
Vanessa,Cisgender Female,,Heterosexual,,,,,,
Vi,Cisgender Female,,Heterosexual,,,,,,
X,Cisgender Male,,Pansexual,,,,,,
Zayne,Non-binary,,Demisexual,,,,,,
Zeph,Cisgender Male,,Asexual,,,,,,
Zero,Cisgender Female,,Heterosexual,,,,,,
